Activity ID,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Athlete Weight,Bike Weight,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Calories,Relative Effort.1,Commute.1,Year,Pace,COVID_Period,Elevation_Group,Week,Year_Week
2394080657,Run,2433,6.8,,,False,,68.7,,2433,3.1,,145.0,154.0,793.5,796.7,2.2,0.0,96.0,90.0,,,506.0,,,2019,5.963235294117647,Pre-COVID,High,21,2019-21
15041944137,Run,3980,10.1,155.0,50.0,False,New Balance 1080 V14 NB 1080 V14,,,3721,3.75,2.715,13.1,200.0,792.9,799.1,3.5,0.0,97.0,92.0,155.0,135.0,727.0,50.0,0.0,2025,6.14026402640264,Post-COVID,Low,28,2025-28
937479324,Run,3682,10.71,150.0,94.0,False,,70.0,,3682,3.5,,0.0,,792.8,797.7,5.9,0.0,93.0,86.0,150.0,138.0,,94.0,0.0,2017,5.729847494553376,Pre-COVID,Low,15,2017-15
3395339582,Run,1342,3.5,168.0,48.0,False,,67.4,,1291,4.5,2.616,6.0,123.0,794.3,798.2,2.6,0.0,100.0,87.0,168.0,147.0,247.0,48.0,0.0,2020,6.147619047619047,COVID,Low,19,2020-19
10701733823,Run,3965,10.5,136.0,18.0,False,Adidas Boston 10 adiBoston10,,,3965,3.504,2.648,14.7,187.0,795.0,798.7,3.0,0.0,92.0,89.0,,125.0,696.0,18.0,0.0,2024,6.2936507936507935,Post-COVID,Low,6,2024-6
1007596701,Run,4627,12.06,158.0,81.0,False,,68.5,,4296,3.9,,173.5,,793.0,879.4,11.6,0.0,94.0,86.0,158.0,133.0,,81.0,0.0,2017,5.936981757877279,Pre-COVID,High,21,2017-21
874447746,Run,1096,3.15,185.0,11.0,False,,69.0,,1096,4.8,,0.0,,792.7,798.0,9.0,0.0,99.0,89.0,185.0,124.0,,11.0,0.0,2017,5.798941798941799,Pre-COVID,Low,5,2017-5
4602763872,Run,1201,2.86,155.0,25.0,False,,,,1169,4.6,2.449,36.2,60.0,842.6,858.1,8.1,0.1,127.0,80.0,,141.0,243.0,25.0,0.0,2021,6.812354312354313,COVID,High,2,2021-2
11733435880,Run,1357,3.49,127.0,5.0,False,ASICS Kayano 29 Asics K29,,,1357,3.824,2.578,6.9,135.0,793.3,798.0,2.4,0.0,94.0,90.0,127.0,119.0,241.0,5.0,0.0,2024,6.480420248328557,Post-COVID,Low,26,2024-26
13264424267,Run,5413,13.24,153.0,68.0,False,ASICS Kayano 29 Asics K29,,,5404,5.357,2.452,113.5,560.0,793.1,883.3,10.5,0.0,96.0,90.0,153.0,135.0,1002.0,68.0,0.0,2025,6.802618328298086,Post-COVID,High,1,2025-1
10927511278,Run,6103,16.41,143.0,61.0,False,Nike Infinity FK3 Nike Infinity FK3 ,,,6002,3.647,2.735,45.4,318.0,792.9,817.3,4.4,0.0,99.0,93.0,,132.0,1165.0,61.0,0.0,2024,6.095876498070282,Post-COVID,High,10,2024-10
5991154016,Run,1982,5.2,169.0,17.0,False,,,,1974,6.1,2.636,16.7,162.0,793.0,804.7,7.0,0.0,98.0,88.0,,130.0,365.0,17.0,0.0,2021,6.326923076923077,COVID,Low,38,2021-38
6921081543,Run,4567,12.01,135.0,19.0,False,,,,4567,3.513,2.63,19.9,373.0,793.5,799.3,5.8,0.0,97.0,91.0,,121.0,860.0,19.0,0.0,2022,6.337774077157923,Post-COVID,Low,13,2022-13
16161086332,Run,3372,9.0,169.0,39.0,False,New Balance Rebel V4 NB Rebel V4,,,3305,5.033,2.725,16.9,217.0,794.9,804.4,3.3,0.0,99.0,90.0,169.0,134.0,657.0,39.0,0.0,2025,6.12037037037037,Post-COVID,Low,42,2025-42
1547481717,Run,1283,3.56,135.0,12.0,False,Nike Flyknit Streak 6 Nike Flyknit S6,67.0,,1283,3.1,,17.4,,793.6,796.7,2.4,0.0,95.0,90.0,135.0,126.0,295.0,12.0,0.0,2018,6.0065543071161045,Pre-COVID,Low,18,2018-18
14118127884,Run,2695,6.26,132.0,11.0,False,Nike Infinity FK3 Nike Infinity FK3 ,,,2695,3.0,2.323,0.0,188.0,795.2,796.5,1.8,0.0,97.0,92.0,132.0,121.0,444.0,11.0,0.0,2025,7.175186368477103,Post-COVID,Low,15,2025-15
3296505589,Run,4223,11.2,135.0,25.0,False,,67.4,,4223,5.1,2.653,29.0,280.0,794.3,815.8,3.9,0.0,103.0,90.0,135.0,122.0,610.0,25.0,0.0,2020,6.284226190476192,COVID,High,16,2020-16
